HEADER_TIME_STAMP,SR
2018-06-14 14:45:53.454,50.000
2018-06-14 14:45:54.454,50.000
2018-06-14 14:45:55.455,50.000
2018-06-14 14:45:56.475,51.000
2018-06-14 14:45:57.495,51.000
2018-06-14 14:45:58.514,51.000
2018-06-14 14:45:59.514,50.000
2018-06-14 14:46:00.514,50.000
2018-06-14 14:46:01.514,50.000
2018-06-14 14:46:02.514,50.000
2018-06-14 14:46:03.514,50.000
2018-06-14 14:46:04.514,50.000
2018-06-14 14:46:05.514,50.000
2018-06-14 14:46:06.515,50.000
2018-06-14 14:46:07.534,51.000
2018-06-14 14:46:08.534,50.000
2018-06-14 14:46:09.534,50.000
2018-06-14 14:46:10.534,50.000
2018-06-14 14:46:11.535,50.000
2018-06-14 14:46:12.535,50.000
2018-06-14 14:46:13.554,51.000
2018-06-14 14:46:14.554,50.000
2018-06-14 14:46:15.555,50.000
2018-06-14 14:46:16.575,51.000
2018-06-14 14:46:17.595,51.000
2018-06-14 14:46:18.597,50.000
2018-06-14 14:46:19.615,51.000
2018-06-14 14:46:20.615,50.000
2018-06-14 14:46:21.615,50.000
2018-06-14 14:46:22.615,50.000
2018-06-14 14:46:23.615,50.000
2018-06-14 14:46:24.615,50.000
2018-06-14 14:46:25.615,50.000
2018-06-14 14:46:26.615,50.000
2018-06-14 14:46:27.634,51.000
2018-06-14 14:46:28.635,50.000
2018-06-14 14:46:29.655,51.000
2018-06-14 14:46:30.655,50.000
2018-06-14 14:46:31.674,51.000
2018-06-14 14:46:32.675,50.000
2018-06-14 14:46:33.675,50.000
2018-06-14 14:46:34.694,51.000
2018-06-14 14:46:35.695,50.000
2018-06-14 14:46:36.695,50.000
2018-06-14 14:46:37.695,50.000
2018-06-14 14:46:38.695,50.000
2018-06-14 14:46:39.695,50.000
2018-06-14 14:46:40.714,51.000
2018-06-14 14:46:41.715,50.000
2018-06-14 14:46:42.734,51.000
2018-06-14 14:46:43.734,50.000
2018-06-14 14:46:44.735,50.000
2018-06-14 14:46:45.735,50.000
2018-06-14 14:46:46.755,51.000
2018-06-14 14:46:47.775,51.000
2018-06-14 14:46:48.775,50.000
2018-06-14 14:46:49.794,51.000
2018-06-14 14:46:50.795,50.000
2018-06-14 14:46:51.795,50.000
2018-06-14 14:46:52.795,50.000
2018-06-14 14:46:53.795,50.000
2018-06-14 14:46:54.795,50.000
2018-06-14 14:46:55.795,50.000
2018-06-14 14:46:56.795,50.000
2018-06-14 14:46:57.795,50.000
2018-06-14 14:46:58.814,51.000
2018-06-14 14:46:59.814,50.000
2018-06-14 14:47:00.814,50.000
2018-06-14 14:47:01.815,50.000
2018-06-14 14:47:02.815,50.000
2018-06-14 14:47:03.834,51.000
2018-06-14 14:47:04.834,50.000
2018-06-14 14:47:05.834,50.000
2018-06-14 14:47:06.835,50.000
2018-06-14 14:47:07.835,50.000
2018-06-14 14:47:08.854,51.000
2018-06-14 14:47:09.855,50.000
2018-06-14 14:47:10.856,50.000
2018-06-14 14:47:11.875,51.000
2018-06-14 14:47:12.894,51.000
2018-06-14 14:47:13.895,50.000
2018-06-14 14:47:14.895,50.000
2018-06-14 14:47:15.895,50.000
2018-06-14 14:47:16.895,50.000
2018-06-14 14:47:17.895,50.000
2018-06-14 14:47:18.915,51.000
2018-06-14 14:47:19.915,50.000
2018-06-14 14:47:20.915,50.000
2018-06-14 14:47:21.934,51.000
2018-06-14 14:47:22.935,50.000
2018-06-14 14:47:23.954,51.000
2018-06-14 14:47:24.954,50.000
2018-06-14 14:47:25.954,50.000
2018-06-14 14:47:26.954,50.000
2018-06-14 14:47:27.954,50.000
2018-06-14 14:47:28.954,50.000
2018-06-14 14:47:29.954,50.000
2018-06-14 14:47:30.954,50.000
2018-06-14 14:47:31.954,50.000
2018-06-14 14:47:32.954,50.000
2018-06-14 14:47:33.954,50.000
2018-06-14 14:47:34.954,50.000
2018-06-14 14:47:35.954,50.000
2018-06-14 14:47:36.954,50.000
2018-06-14 14:47:37.954,50.000
2018-06-14 14:47:38.955,50.000
2018-06-14 14:47:39.975,51.000
2018-06-14 14:47:40.995,51.000
2018-06-14 14:47:41.995,50.000
2018-06-14 14:47:42.995,50.000
