HEADER_TIME_STAMP,VALUE,HZ,DEVICE,SR,GRANGE,NAME,TYPE
2018-06-14 14:44:30.000,7.311947909,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:44:35.000,7.242067551,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:44:40.000,7.296803726,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:44:45.000,7.303250243,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:44:50.000,7.248839932,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:44:55.000,7.303312853,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:45:00.000,7.316479442,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:45:05.000,7.227104397,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:45:10.000,7.295646073,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:45:15.000,7.307183843,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:45:20.000,7.236431194,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:45:25.000,7.284666610,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:45:30.000,7.299147202,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:45:35.000,7.249872317,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:45:40.000,7.302556710,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:45:45.000,7.290202905,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:45:50.000,7.311857282,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:45:55.000,7.302285694,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:46:00.000,7.242285563,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:46:05.000,7.301213671,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:46:10.000,7.304916711,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:46:15.000,7.252577776,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:46:20.000,7.324963200,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:46:25.000,7.327990270,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:46:30.000,7.270999220,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:46:35.000,7.318926646,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:46:40.000,7.298029228,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:46:45.000,7.236117029,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:46:50.000,7.327967279,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:46:55.000,7.313103148,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:48:00.000,3.882968432,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:48:05.000,3.909620005,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:48:10.000,3.852486827,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:48:15.000,3.922444921,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:48:20.000,3.898738552,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:48:25.000,3.866330467,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:48:30.000,3.918019528,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:48:35.000,3.917993932,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:48:40.000,3.893365105,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:48:45.000,3.905496041,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:48:50.000,3.933856835,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:48:55.000,3.883395163,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:49:00.000,3.922405122,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:49:05.000,3.896040167,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:49:10.000,3.941672358,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:49:15.000,3.925880573,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:49:20.000,3.892122241,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:49:25.000,3.977789973,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:49:30.000,3.950417406,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:49:35.000,3.930980594,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:49:40.000,3.965372135,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:49:45.000,4.005240854,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:49:50.000,3.902367654,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:49:55.000,3.939639447,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:50:00.000,3.955419476,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:50:05.000,3.990484461,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:50:10.000,3.997110786,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:50:15.000,3.980703505,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:50:20.000,3.970447318,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:50:25.000,3.992405691,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:55:30.000,2.628265681,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:55:35.000,2.665658668,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:55:40.000,2.640609809,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:55:45.000,2.680277618,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:55:50.000,2.652208455,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:55:55.000,2.699787011,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:56:00.000,2.696120814,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:56:05.000,2.702295626,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:56:10.000,2.720607344,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:56:15.000,2.753784535,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:56:20.000,2.693465972,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:56:25.000,2.716971183,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:56:30.000,2.685373109,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:56:35.000,2.691316172,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:56:40.000,2.819028432,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:56:45.000,2.784495915,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:56:50.000,2.815268002,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:56:55.000,2.796279431,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:57:00.000,2.773790312,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:57:05.000,2.782737838,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:57:10.000,2.739306569,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:57:15.000,2.743532049,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:57:20.000,2.745856854,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:57:25.000,2.754797323,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:57:30.000,2.736740323,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:57:35.000,2.736626374,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:57:40.000,2.723115780,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:57:45.000,2.714120959,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:57:50.000,2.743886033,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:57:55.000,2.743913518,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_narrowband_noextrap
2018-06-14 14:25:30.000,2.107833513,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:25:35.000,2.088162595,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:25:40.000,2.097791185,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:25:45.000,2.105220969,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:25:50.000,2.100504815,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
